timestamp,msg,proto,src,srcport,dst,dstport,ethsrc,ethdst,ethlen,tcpflags,tcpseq,tcpack,tcplen,tcpwindow,ttl,tos,id,dgmlen,iplen,icmptype,icmpcode,icmpid,icmpseq
3:18:45,SCAN UPnP service discover attempt,UDP,192.168.147.1,61489,239.255.255.250,1900,00:50:56:C0:00:08,01:00:5E:7F:FF:FA,0xD8,,,,,,1,0,11408,202,206848,,,,
3:18:46,SCAN UPnP service discover attempt,UDP,192.168.147.1,61489,239.255.255.250,1900,00:50:56:C0:00:08,01:00:5E:7F:FF:FA,0xD8,,,,,,1,0,11409,202,206848,,,,
3:18:47,SCAN UPnP service discover attempt,UDP,192.168.147.1,61489,239.255.255.250,1900,00:50:56:C0:00:08,01:00:5E:7F:FF:FA,0xD8,,,,,,1,0,11410,202,206848,,,,
3:21:48,ICMP PING NMAP,ICMP,192.168.147.128,,192.168.242.1,,00:0C:29:3F:CA:52,00:50:56:F3:DC:F2,0x2A,,,,,,46,0,54779,28,28672,8,0,10433,0
3:21:48,ICMP PING,ICMP,192.168.147.128,,192.168.242.1,,00:0C:29:3F:CA:52,00:50:56:F3:DC:F2,0x2A,,,,,,46,0,54779,28,28672,8,0,10433,0
3:21:48,ICMP Timestamp Request,ICMP,192.168.147.128,,192.168.242.1,,00:0C:29:3F:CA:52,00:50:56:F3:DC:F2,0x36,,,,,,50,0,24120,40,40960,13,0,831,0
3:21:48,ICMP Echo Reply,ICMP,192.168.242.1,,192.168.147.128,,00:50:56:F3:DC:F2,00:0C:29:3F:CA:52,0x3C,,,,,,128,0,18239,28,28672,0,0,10433,0
3:21:51,ICMP PING undefined code,ICMP,192.168.147.128,,192.168.242.1,,00:0C:29:3F:CA:52,00:50:56:F3:DC:F2,0xA2,,,,,,55,0,61341,148,151552,8,9,59260,295
3:21:51,ICMP Echo Reply,ICMP,192.168.242.1,,192.168.147.128,,00:50:56:F3:DC:F2,00:0C:29:3F:CA:52,0xA2,,,,,,128,0,18404,148,151552,0,0,59260,295
3:21:51,ICMP PING,ICMP,192.168.147.128,,192.168.242.1,,00:0C:29:3F:CA:52,00:50:56:F3:DC:F2,0xC0,,,,,,51,4,7263,178,182272,8,0,59261,296
3:21:51,ICMP Echo Reply,ICMP,192.168.242.1,,192.168.147.128,,00:50:56:F3:DC:F2,00:0C:29:3F:CA:52,0xC0,,,,,,128,0,18405,178,182272,0,0,59261,296
3:21:51,SCAN nmap XMAS,TCP,192.168.147.128,54509,192.168.242.1,9,00:0C:29:3F:CA:52,00:50:56:F3:DC:F2,0x4A,**U*P**F,0xF93BC935,0x58314DF4,40,0xFFFF,48,0,57807,60,61440,,,,
3:21:52,SCAN nmap XMAS,TCP,192.168.147.128,54509,192.168.242.1,9,00:0C:29:3F:CA:52,00:50:56:F3:DC:F2,0x4A,**U*P**F,0xF93BC935,0x58314DF4,40,0xFFFF,39,0,19551,60,61440,,,,
3:21:52,SCAN nmap XMAS,TCP,192.168.147.128,54509,192.168.242.1,9,00:0C:29:3F:CA:52,00:50:56:F3:DC:F2,0x4A,**U*P**F,0xF93BC935,0x58314DF4,40,0xFFFF,49,0,49761,60,61440,,,,
3:21:52,SCAN nmap XMAS,TCP,192.168.147.128,54509,192.168.242.1,9,00:0C:29:3F:CA:52,00:50:56:F3:DC:F2,0x4A,**U*P**F,0xF93BC935,0x58314DF4,40,0xFFFF,44,0,57573,60,61440,,,,
3:22:43,SCAN UPnP service discover attempt,UDP,192.168.147.1,51679,239.255.255.250,1900,00:50:56:C0:00:08,01:00:5E:7F:FF:FA,0xD8,,,,,,1,0,11415,202,206848,,,,
3:22:44,SCAN UPnP service discover attempt,UDP,192.168.147.1,51679,239.255.255.250,1900,00:50:56:C0:00:08,01:00:5E:7F:FF:FA,0xD8,,,,,,1,0,11416,202,206848,,,,
3:22:45,SCAN UPnP service discover attempt,UDP,192.168.147.1,51679,239.255.255.250,1900,00:50:56:C0:00:08,01:00:5E:7F:FF:FA,0xD8,,,,,,1,0,11417,202,206848,,,,
3:22:46,SCAN UPnP service discover attempt,UDP,192.168.147.1,51679,239.255.255.250,1900,00:50:56:C0:00:08,01:00:5E:7F:FF:FA,0xD8,,,,,,1,0,11418,202,206848,,,,
